Review,Summary,Sentiment
utterli disappoint,humid bad purchas poor qualiti total money wast,0.0
bad qualiti,good oneit throw cool air lot noisi,0.0
good,cooler bodi qualiti bad fragil plastic bodi side door knob provid good side door open fit correctli refil water also pain knob provid back loos leak water refil done unless cautiou way drain water need either remov water use mug revers filler cooler upsid recommend purchas cooler look cooler wh,0.0
good,poor qualiti,0.0
good,20 day cool goe dont fell 1st day dont know exactli issu lie even repres visit,0.0
realli nice,cool system good bodi materi poor,0.0
terribl product,dont go flipkart review purchas cooler total wast moneyp,0.0
meet expect,low qualiti product silver alluminium motor windingair flow low bought model 5 year back copper motor airflow gud crompton start make aluminium motor due airflow reduc 50 plastic bodi also made cheap materi,0.0
utterli disappoint,expect low gard plastic use swing isnt adjust water pump replac 4 time 3 month wast buy,0.0
moder,use 1year 1 month use regular 3month water pump work crompton use bad product,0.0
expect better product,water pump motor failur buy month servic provid crompton,0.0
hate,poor qualiti receiv defect product,0.0
recommend,water pour holescrompton servic good,0.0
bad qualiti,within one year may lost fan motor without special caus runningstart,0.0
utterli disappoint,bad product guy pleas dont buy product overal bad experi product,0.0
good,product defect,0.0
worst experi ever,product look good leakag screw wheel power water come outsid floor becom wet slipperi dont buy cheat sell defect product,0.0
nice,air flow fast expect cooler good best even one person,0.0
poor,motor pump stop work one season air throw also lame doesnt work june summer wast money bought 8577 still wast money wont buy crompton product,0.0
moder,wheel qualiti poor back wheel work properli day 1st custom servic,0.0
could way better,worst product dont buy,0.0
pretti good,littl bit noisi,0.0
hate,pathet cooler,0.0
slightli disappoint,issu bodi plastic fit good,0.0
wonder,item excel courier servic delhiveri behaviour bad,0.0
hate,pipe block defect piec nobodi came flipkart return,0.0
hate,one worst product receiv recent day stop work month,0.0
unsatisfactori,within one year speed decreas,0.0
poor,water pump stop work 2 month poor custom servic contact fix,0.0
meet expect,good overal everi time air flow go slowli slowli caus plastic blade qualiti poor qualiti product good,0.0
good,dust filterno remot control plastic bodyne check perform ill review next one month usag,0.0
job,cooler look good effect detail length pipe connect water motor short keep come,0.0
horribl,disgustingi order product high expect today 19062021 receiv product unfortun product found damagedand disgust product adjust front grill everi 5 minut come also use mseal repair damag partreal didnt expect bad product flipkart,0.0
moder,sutisfiedveri bad product,0.0
moder,2 month review air cool good major problem start rotat wing mode vertic wing clash horizont wing due row horizont wing get damag realli disappoint pay much face problem use rotationdont go cooler,0.0
worthless,recommend work cheap cooler,0.0
good,blade keep fall downward toward ground air flow direct floor didnt like part need manual adjust blade bt time blade direct toward floor cool much satisfi air flow good,0.0
utterli disappoint,air cooler badest product world dont buy cooler,0.0
unsatisfactori,bad product request everyon pleas dont buy product,0.0
fair,overpr good finish cooler plastic bodyotherwis fine,0.0
utterli disappoint,disappoint,0.0
absolut rubbish,1 year fan work disappoint,0.0
expect better product,use month water motor stop work sad crompton desert cooler know guy use cheap chines product make product un durabl suggest buy anybodi pleas refrain,0.0
worth money,everi thing ok ya noisi muchbut noisi,0.0
n't wast money,veri bed cooler,0.0
okay,item nice water drain avail product neg side,0.0
absolut rubbish,good,0.0
moder,good cant kept insid creat humid infact good ventil sourc,0.0
nice,work fine issu,0.0
absolut rubbish,1 week perfom later work work,0.0
terribl product,purchas item take return problem purchas product two time appli return sinc upto expect without reason cancel return twice money got wast pleas purchas dont wast money,0.0
unsatisfactori,compact bed product water pump work 7 day deliveri recommend,0.0
absolut rubbish,dont buy product worth even 1 rs,0.0
moder,product suitabl high temp area day time 4546 degre make high nois got broken product fulfil requir get refund technician good reject refund poor respons flip kart still call flip kart around 5 6 time day wast time product last 10 day still get refund solut,0.0
hate,give cool air despit fact place outsid window outer air enter room satisfi one,0.0
hate,worst product price rangereturn option avail,0.0
good,somehow cool capabl good els good,0.0
okay,damag product,0.0
fair,disappoint product intial order ash color got anoth color place replac brought color deliv intial come perform quit good annoy buttonknob adjust wind direct outsid,0.0
recommend,happi product air throw good,0.0
recommend,worst product water dispens unabl dispens water honey combnot work properli due honey comb remain dri due spread hot airnot use summerjust show piecenot expect band like crompton smell weird tri contact crompton custom servic didnt respond dont buy product,0.0
bad qualiti,cooler goodnew cooler pump faulti,0.0
bad qualiti,expect much nois poor air coolingsometim water pump motor isnt work properli get of automat,0.0
job,cool power upto markcompar qualiti price,0.0
fair,cooler good got damag product,0.0
fair,receiv broken plug topotherwis fine,0.0
poor,motor becam jam 20 day,0.0
meet expect,much smelldisappoint day 1,0.0
poor,motor run speed 1,0.0
recommend,worst product price air push whole product lot scratch along motor cover tape cover maker detail main issu cool defect product cool less air throw lot defect plastic bodi need refund order unhappi product lot issu,0.0
good,low cool,0.0
good choic,less nois throw cool air bodi qualiti good,0.0
expect better product,speed low,0.0
unsatisfactori,cool,0.0
hate,louver come downward within 2 minut caus air come bedi think design problemdu dont like,0.0
awesom,poor,0.0
expect better product,plastic qualiti light horizont swing work blade automat come wheel lock doesnt work cooler still move even lock,0.0
hate,worst experienceiam write review use cooler one week iam satisfi product cool like normal fan support crompton peopl seller reject return request without ask feedback total disappoint servic,0.0
worst experi ever,bad product 6 month pump work noisi also,0.0
n't wast money,receiv broken cooler,0.0
n't wast money,wheel connect properli screw come tri fix screw slip poor wheel attachmentscomplet cheat custom,0.0
super,good bad servic,0.0
worth money,nice product qualiti doubt upto mark crompton known qualiti product,0.0
worst experi ever,deliv 3 day today open initi setup fan work water pump workingcrompton custom care respond help,0.0
decent product,old product receiv also mani scratch dent pad holder recommend,0.0
wow,packag goodair pressur also good overal qualiti goodbut water consumpt lot tank empti 89 hour,0.0
recommend,cooler cool good,0.0
expect better product,horizont louver defect alway come lower posit matter mani time manual chang,0.0
fair,avg product cordlength small cool system also avg valu money,0.0
useless product,satisfi recommend,0.0
moder,cool much,0.0
delight,ok product,0.0
useless product,worst product water flow pump less honey pad wet properli cool air cooler,0.0
unsatisfactori,deliveri boy behavior good,0.0
good,waist money,0.0
realli nice,feedback use cooler one week posit pointsgood cool effectbig water tank run 15 18 hour without tensionno heat issueimprov required1 power cabl short difficult connect2 wheel strong compar wit 75 ltr storag capacity3 clean bit tough task water outflow provis given bottom side,0.0
fair,cool expected88 l way expectationsproduct qualiti 35 5rate 355cool 2 5deliv quickli within two daysthank u flipkart,0.0
nice,time place order select grey white color receiv white teal color accept flipcart,0.0
n't wast money,produ ct good move one place anoth home back wheel bend cant replac 7 day disappoint,0.0
could way better,cool,0.0
poor,wast product home use use home make nois hot water vapour,0.0
slightli disappoint,worst plastic use make,0.0
absolut rubbish,guess due pandem flipkart custom support gone hibern due wrong product receiv that seller fault got terribl experi support talk product averag built got defect wheel troubl move around easili fulli fill cool standard cooler expect gasfil air condit cooler,0.0
good,cool capac good expect,0.0
poor,water pump work mani call followup neither technician visit flipkart replac product first time worst experi,0.0
utterli disappoint,got electr shock touch cool pad mistak 3 month purchas mani time drip water contain electr potenti,0.0
okay,cooler pump work properli,0.0
job,sound qualiti headphon okdesign also good order comfort good use 1hr ear hurt much feel ear pain 4 5 min remov headphoneth bluetooth connect also good wont work within 3 meter also barrier like doorfeel bad bluetooth 2week use bluetooth work properli wire also work properli sometim one speaker stop work,0.0
good,review help use soni xb55ap use xb 3 year review base it1 music good anywher compar xb 55 ap2 game use cabl latenc connect bluetooth consider latenc also audio qualiti game upto mark footstep enemi audibl distanc xb better3 long time usag long time use,0.0
excel,cool comfort look awesom uniqu design lovethen sound qualiti perfect bass okay extra bass market trick good bad price rang want boom bass go jbl t350 cost 2500 2000 boat rokerz shine,0.0
okay,comfort head sound qualiti much good expect ear comfort good sometim com fit cover ear llp,0.0
super,aux isnt good prefer use bluetooth mobil sinc give better output bass good accord price tag nois cancel also satifactori design realli good look batteri give time compani claim lol case atleast go,0.0
wast money,devic support honor phone honor play phone devic support 3d sound game music,0.0
wonder,review 6 month work great soun qualiti best batteri backup good button sync perfectli phone exact amount batteri remain show could problem phone,0.0
okay,say mic doesnt work good call good music anoth problem face feel hot ear cant use summer though good winter,0.0
terrif,produc good sound special thump bass mind blow design look cool give kinda gamer look batteri backup mind blow ox cabl given box also good qualiti good length neg point ie comfort u wear hour u notic pain ur ear due ear design soft leather music come might disturb someon nearbi good deal 1299 love know,0.0
fair,good home use recommend long use caus pain ear rest siund qualiti bass good comfort use,0.0
brilliant,like much superb charger cabl good use samsung charger good work,0.0
value-for-money,great sound qualiti good nois cancellationhigh bass especi max volum cant listen max volum long low sound leakag problem comfort listen 2230 hour max mayb headphon that one littl uncomfort recommend buy intend wear 45 hr one sit otherwis tri rockerz 600on ear realli comfort batteri backup headph,0.0
awesom,sound good wierd headphon built qualiti design good 1star bought in2000 think deserv 1500 worth everi penni,0.0
decent product,okay sonot go write detail reviewheadphon pretti goodno doubti 2 issu 1sound qualiti averag 2your ear start pain 1530 minsi dont even use anymor painmi ear turn red 25 min usagethi headset give game look youi wouldnt recommend music bass goodbut sound qualiti mark,0.0
job,bluetooth identifi laptopand connect phone wifi abl listen music tri call sound clear voic come clear tri variou phone sound clear call say voic call clear enough understand,0.0
super,give 5 starssound base well balanc sidesdo buy boat aux cabl provid aux headphon good decreas sound badlygo,0.0
okay,ye find product mani potenti product sound realli fun bass full entertain design realli good accord sound qualiti good full volum base headphon bass realli huy headphon comfort one hour one half hour find uncomfort,0.0
good,sound great get ear type earphon ever use boat bass head 225 super extraaa bass earphon soni mdrex150 definit get disappoint headphon look realli good bit bulki go bluedio t2 plu price segment one far better boat rockerz 510 batteri back decent got headphon flipkart big billion day 1399 inr didnt effect much that instead,0.0
worth money,sound good sound leak maxim volum headphon,0.0
fabul,one hell headphoneif gamer must one,0.0
value-for-money,headphon good flipkart packag cheap dirti,0.0
absolut rubbish,devic toooooo bigmic work answer callsno return polici replac avail useless dont like product,0.0
utterli disappoint,receiv faulti piec batteri chargingwithin 20 day use sent back compani warrenti deliev back product unrepair expect boat u r buy dont expect good servic boat supporrt even custom care number respons dont repli email also,0.0
wow,batteri backup superind charg fullstereo cabl use batteri lowtrendi looknic cushion comfi wearinbuilt control,0.0
horribl,bad product high bass lower qualiti real music andsmal cushion make ear get pain use 510 minut,0.0
useless product,pros1attract design2 loud sound bass loud highest volum act speaker idk pro concon1 cant wear 1hr go ear hurt alot dont get use year 2 mic good youd expectbett buy jbl earphon much lesser price 3poor nois cancel,0.0
n't wast money,voic call voic audio abl clearli other,0.0
awesom,problem anyth improv build qualiti littl bit,0.0
terrif,good problem sound call osm let see batteri backup,0.0
fair,build qualiti mark unfinish edg give cheap look product also neckband flexibl like aroma 119 pro overal sound batteri backup good price rang product bulid qualiti lack behind,0.0
worst experi ever,order green got black also damag product flipkart broken use one apli return flipkart reject return shame one u flipkart grab someonc valuabl money,0.0
nice,charger cabl inisd otherwis good,0.0
horribl,comment fake total batteri backup 7to 8 hr complet pay connect use come 10 hr,0.0
meet expect,rang connect problem,0.0
unsatisfactori,earphon left ear broke two first day use feviquick fix,0.0
poor,good connect,0.0
unsatisfactori,good,0.0
wonder,good product play song low volum wind nois beep beep sound irrit,0.0
useless product,worst product,0.0
absolut rubbish,unsatisfi 15 day speaker spoil cant hear pl guy dont buy,0.0
n't wast money,bad product,0.0
meet expect,within two month neckband damag ver pathet product,0.0
useless product,stop work 8 day,0.0
expect better product,three month sound low bass vanish,0.0
could way better,bad experi headphonebluetooth rang 45 metr onlysound breakag issu,0.0
wast money,worst product never buy even magnet strong enough hold tight sound qualiti averag batteri drain fast 5 star review fake,0.0
hate,vari bad,0.0
good,bad sound low sond qualeti,0.0
good,speaker problem,0.0
bad qualiti,bad,0.0
could way better,bed poudect,0.0
unsatisfactori,bad product sound bass music bad,0.0
worthless,sound effect poor,0.0
slightli disappoint,sound problem connect problem,0.0
recommend,nonsens doesnt batteri life last 35 hour say 48 hour,0.0
terrif purchas,damm product realli nice volum much hear like 25 feel like local earphon 100p accident put vol 100 ear went blank 30 sec scare hell,0.0
n't wast money,wast money loss,0.0
expect better product,good,0.0
wast money,time 48 hour wibe rat,0.0
worst experi ever,bad product,0.0
worst experi ever,bad,0.0
nice,good product wen make call sound hear,0.0
wast money,wast money wast product,0.0
good,okay bluetooth problem connector phone everi time collect problem,0.0
moder,1 term build qualiti poor oneplu bullet wireless z 10 time better price comfort around neck qualiti rub good one find differ oneplu brand neck band2 connect bought recent 2 day back im alreadi face connect issu detach ear burd auto connect phone sometim work also,0.0
pretti good,wire qualiti realli improv previou version ergonom design realli impress user may feel difficulti proper fit bud ear even smallest one control button good mani time need press hard feel unreli control special central paus pickup button rest good price rang,0.0
recommend,worst respons flipkart receiv product problem one side speaker work told give replac product r refund till respond guy dont buy flipkart,0.0
worthless,one hear low sound,0.0
value-for-money,think bullet z bass havenbut bullet z2 ultim bass luv,0.0
wast money,reccomand buy headset sometim got stuck 1sec gap irrit annoy sinc charger port lid alway open sweat got insid mic headset clearli audibl use mic phone call get hold mic region near mouth,0.0
fabul,bast product,0.0
worthless,bad nois cancel work,0.0
absolut rubbish,dont like devic sound qualiti want refund product want buy one plu bullet z seri bass edit product poor qualiti ur team help poor servic ur team,0.0
value-for-money,thing good dual devic pair featur miss,0.0
unsatisfactori,unabl conect devic,0.0
worthless,item deliv app updat deliv bad experi till unabl resolv issuecontact multipl time unprofession behaviour didnt expect happen lot difficult time follow,0.0
nice product,sound qualiti superb build qualiti poor compar one plu bullet z bass edit,0.0
utterli disappoint,mark word oneplu take review serious manufactur rubbish type product market hegemoni destroy decim within year u compromis built qualiti disappoint proper sound nois cancel like wors absolut dull product,0.0
recommend,bad product seriou connect issu want return return button work took back front page everytim,0.0
pretti good,small ear pain 5 min get pain good product,0.0
recommend,worst moneynois cancel work devic connect good call irritatung clear sound,0.0
terribl product,worst product bought life,0.0
horribl,didnt reciev item flipkart supportingnot even call wrong nd money also gone wastefrom next time onward never order flipkart,0.0
absolut rubbish,wast money,0.0
terribl product,bass worst,0.0
utterli disappoint,bad product,0.0
worst experi ever,20 day ware also broken automat,0.0
utterli disappoint,pair issu sound qualiti poor two devic pair time,0.0
horribl,multipoint connectionth pathet reason understand product useless want return thu,0.0
unsatisfactori,wast app spoil money app wast bad app,0.0
worst experi ever,sound qualiti expectedand mice qualiti poorcal time nois cancel workingm qualiti bad,0.0
utterli disappoint,sound qualiti bad,0.0
worthless,bad qualiti batteri backup 9 hour request custom dont buy,0.0
worthless,audio drop problem occur phone jean pocketit drop sound frequentlyit big con neckband,0.0
worthless,dont like product also time flipkart servic also much disappoint,0.0
terribl product,verri bad flipkart respons product replac iam verri hungari,0.0
absolut rubbish,bass low compar soni xb400 sound qualiti also upto soni better go soni,0.0
unsatisfactori,product good shown happi product would advis take,0.0
poor,pain ear use time bass less compar bass edit,0.0
recommend,music effectbett purchas oneplu z bass edit,0.0
unsatisfactori,bulki fit properli return polici think twice buy,0.0
useless product,order increas bass ruin vocal,0.0
worst experi ever,worst product,0.0
classi product,poor,0.0
job,nois cancel work,0.0
utterli disappoint,worst product receiv,0.0
worthless,good expect one plu z base edit good one plu z2,0.0
unsatisfactori,hurt ear ear pain insidethi product comfort,0.0
worst experi ever,bad product wast money,0.0
useless product,useless productdont buyun happi servic flitkart,0.0
useless product,wast product,0.0
terrif,time work perfectli like connect phone suddenli audio gone reconnect start work dont know issu behind itm,0.0
decent product,support devic,0.0
absolut rubbish,damag item,0.0
absolut rubbish,comfort ear listion song listion sound recommend dont purchas itemcar refund,0.0
could way better,bluetooth connect problem call problem sound good,0.0
wast money,design goodno comfort,0.0
excel,go gr8 bass asom n variant make realiz bass edit z1 much good,0.0
useless product,sound qualiti low problem,0.0
horribl,worst servic oneplusspecifi mention clearli support smartphon 3g less refund provid worst respons oneplu servic teamhat productdont buy,0.0
hate,ear lead comfort ear,0.0
utterli disappoint,flipkart replac servic bad oneplu bullet wireless z2 yearphon badqual mice badqual west moni bodi bay product,0.0
pretti good,wire qualiti realli improv previou version ergonom design realli impress user may feel difficulti proper fit bud ear even smallest one control button good mani time need press hard feel unreli control special central paus pickup button rest good price rang,0.0
recommend,worst respons flipkart receiv product problem one side speaker work told give replac product r refund till respond guy dont buy flipkart,0.0
worthless,one hear low sound,0.0
value-for-money,think bullet z bass havenbut bullet z2 ultim bass luv,0.0
wast money,reccomand buy headset sometim got stuck 1sec gap irrit annoy sinc charger port lid alway open sweat got insid mic headset clearli audibl use mic phone call get hold mic region near mouth,0.0
worthless,bad nois cancel work,0.0
